"measure","tp","pred","pearso_p","spearman_p","kendall_p","pearson.sig","spearman.sig","kendall.sig"
"OTSMDLFC","B30","visionaryMean",0.041,0.071,0.063,"*","",""
"OTSMDLFC","B7","age",0.21,0.635,0.638,"","",""
"OTSMDLFC","B7","LED",0.71,0.632,0.75,"","",""
"OTSMDLFC","B7","severity",0.622,0.956,1,"","",""
"OTSMDLFC","B7","fivedasc_util_total",0.805,0.619,0.638,"","",""
"OTSMDLFC","B7","fivedasc_sprit_total",0.76,0.499,0.638,"","",""
"OTSMDLFC","B7","fivedasc_bliss_total",0.866,0.834,0.841,"","",""
"OTSMDLFC","B7","fivedasc_insight_total",0.786,0.716,0.737,"","",""
"OTSMDLFC","B7","fivedasc_dis_total",0.853,0.939,1,"","",""
"OTSMDLFC","B7","fivedasc_imp_total",0.294,0.184,0.153,"","",""
"OTSMDLFC","B7","fivedasc_anx_total",0.62,0.266,0.311,"","",""
"OTSMDLFC","B7","fivedasc_cimg_total",0.99,1,0.731,"","",""
"OTSMDLFC","B7","fivedasc_eimg_total",0.47,0.558,0.459,"","",""
"OTSMDLFC","B7","fivedasc_av_total",0.107,0.089,0.116,"","",""
"OTSMDLFC","B7","fivedasc_per_total",0.871,0.7,0.545,"","",""
"OTSMDLFC","B7","boundlessMean",0.903,0.588,0.545,"","",""
"OTSMDLFC","B7","anxiousEgoMean",0.622,0.404,0.545,"","",""
"OTSMDLFC","B7","visionaryMean",0.375,0.444,0.459,"","",""
"OTSMDLFC","bsl","age",0.225,0.227,0.311,"","",""
"OTSMDLFC","bsl","LED",0.34,0.468,0.596,"","",""
"OTSMDLFC","bsl","severity",0.869,0.635,0.638,"","",""
"OTSMDLFC","bsl","fivedasc_util_total",0.408,0.331,0.311,"","",""
"OTSMDLFC","bsl","fivedasc_sprit_total",0.596,0.514,0.638,"","",""
"OTSMDLFC","bsl","fivedasc_bliss_total",0.364,0.276,0.311,"","",""
"OTSMDLFC","bsl","fivedasc_insight_total",0.869,0.683,0.737,"","",""
"OTSMDLFC","bsl","fivedasc_dis_total",0.503,0.766,0.638,"","",""
"OTSMDLFC","bsl","fivedasc_imp_total",0.442,0.766,0.737,"","",""
"OTSMDLFC","bsl","fivedasc_anx_total",0.965,0.956,1,"","",""
"OTSMDLFC","bsl","fivedasc_cimg_total",0.567,0.721,0.731,"","",""
"OTSMDLFC","bsl","fivedasc_eimg_total",0.918,0.733,0.638,"","",""
"OTSMDLFC","bsl","fivedasc_av_total",0.993,0.956,0.841,"","",""
"OTSMDLFC","bsl","fivedasc_per_total",0.73,0.604,0.545,"","",""
"OTSMDLFC","bsl","boundlessMean",0.528,0.404,0.381,"","",""
"OTSMDLFC","bsl","anxiousEgoMean",0.421,0.683,0.737,"","",""
"OTSMDLFC","bsl","visionaryMean",0.816,0.991,1,"","",""
"OTSPSFC","A7","age",0.079,0.114,0.092,"","",""
"OTSPSFC","A7","LED",0.774,0.588,0.508,"","",""
"OTSPSFC","A7","severity",0.079,0.114,0.092,"","",""
"OTSPSFC","A7","fivedasc_util_total",0.875,0.635,0.674,"","",""
"OTSPSFC","A7","fivedasc_sprit_total",0.956,0.627,0.575,"","",""
"OTSPSFC","A7","fivedasc_bliss_total",0.689,0.327,0.326,"","",""
"OTSPSFC","A7","fivedasc_insight_total",0.607,0.304,0.4,"","",""
"OTSPSFC","A7","fivedasc_dis_total",0.397,0.327,0.262,"","",""
"OTSPSFC","A7","fivedasc_imp_total",0.975,0.708,0.779,"","",""
"OTSPSFC","A7","fivedasc_anx_total",0.525,0.86,0.888,"","",""
"OTSPSFC","A7","fivedasc_cimg_total",0.324,0.796,0.833,"","",""
