"measure","tp","pred","pearson_cor","spearman_rho","kendall_tau","pearson_p","spearman_p","kendall_p","pearson_sig","spearman_sig","kendall_sig"
"MTSRFAMD","B7","fivedasc_dis_total",0.184,0.189,0.121,0.568,0.558,0.638,"","",""
"MTSRFAMD","B7","fivedasc_imp_total",-0.073,-0.154,-0.091,0.823,0.635,0.737,"","",""
"MTSRFAMD","B7","fivedasc_anx_total",0.038,0.021,0.061,0.906,0.956,0.841,"","",""
"MTSRFAMD","B7","fivedasc_cimg_total",0.265,0.249,0.198,0.405,0.436,0.372,"","",""
"MTSRFAMD","B7","fivedasc_eimg_total",-0.001,0.147,0.061,0.997,0.651,0.841,"","",""
"MTSRFAMD","B7","fivedasc_av_total",-0.214,-0.098,-0.061,0.505,0.766,0.841,"","",""
"MTSRFAMD","B7","fivedasc_per_total",0.007,0.294,0.212,0.982,0.354,0.381,"","",""
"MTSRFAMD","B7","boundlessMean",0.391,0.406,0.273,0.209,0.193,0.25,"","",""
"MTSRFAMD","B7","anxiousEgoMean",0.124,0.203,0.152,0.701,0.528,0.545,"","",""
"MTSRFAMD","B7","visionaryMean",-0.003,0.098,0.061,0.993,0.766,0.841,"","",""
"MTSRFAMD","bsl","age",0.576,0.406,0.29,0.05,0.19,0.192,"","",""
"MTSRFAMD","bsl","LED",0.222,0.219,0.145,0.566,0.571,0.596,"","",""
"MTSRFAMD","bsl","severity",0.527,0.497,0.351,0.078,0.1,0.114,"","",""
"MTSRFAMD","bsl","fivedasc_util_total",0.292,0.361,0.26,0.358,0.249,0.243,"","",""
"MTSRFAMD","bsl","fivedasc_sprit_total",0.359,0.385,0.26,0.252,0.216,0.243,"","",""
"MTSRFAMD","bsl","fivedasc_bliss_total",0.353,0.476,0.382,0.26,0.117,0.086,"","",""
